mention_id,concept_expression,explain_text,expectation
106765_1_1_1_3_0_22,Quản_lý chất_thải,"hoạt_động phân_loại , thu_gom , vận_chuyển , giảm_thiểu , tái sử_dụng , tái_chế , xử_lý , tiêu_hủy , thải loại chất_thải .",0.853
93411_1_1_1_3_0_74,Trục đường chính,"trục đường có lòng_đường từ 10 m trở lên , kể_cả dãy phân_cách .",0.851
74838_1_1_1_2_0_7,Cáp điện ngầm,dây dẫn_điện chuyên_dùng có cấp cách_điện phù_hợp được đặt ngầm trong lòng đất theo quy_phạm .,0.852
71232_1_1_1_2_0_13,Cơ_sở dữ_liệu ( Database ),"tập_hợp các dữ_liệu được tổ_chức và sắp_xếp chặt_chẽ để cập_nhật , quản_lý và khai_thác thông_qua phương_tiện điện_tử .",0.853
77568_1_1_1_3_0_16,Ô_nhiễm nguồn nước,"sự thay_đổi tính_chất vật_lý , tính_chất hoá_học , thành_phần sinh_học của nước vi_phạm tiêu_chuẩn cho phép .",0.874
53083_1_1_1_3_0_3,Chỉ_giới đường đỏ,đường ranh_giới phân_định giữa phần thửa đất để xây_dựng công_trình và phần đất được dành cho đường giao_thông hoặc các công_trình kỹ_thuật hạ_tầng .,0.85
118307_1_1_1_2_0_19,Người chơi,các cá_nhân thuộc đối_tượng được phép chơi các loại_hình trò_chơi có thưởng tại Điểm kinh_doanh casino quy_định tại Điều 11 và Điều 12 Nghị_định này .,0.889
12960_1_1_1_1_0_15,Phân_bón rễ,các loại phân_bón được bón trực_tiếp vào đất hoặc vào nước để cung_cấp chất dinh_dưỡng cho cây_trồng thông_qua bộ rễ ;,0.856
31415_1_1_1_2_0_19,"Đường_dây , cáp thuê_bao","đoạn dây , cáp viễn_thông , truyền_hình được kéo từ hộp cáp , bộ chia đến phía ngoài hộ thuê_bao ;",0.855
44356_1_1_1_3_0_3,Đô_thị,"phạm_vi ranh_giới địa_chính nội_thị của thành_phố , thị_xã và thị_trấn ; bao_gồm các quận và phường ( đối_với thành_phố và thị_xã ) và các khu_phố xây_dựng tập_trung ( đối_với thị_trấn thuộc huyện ) .",0.859
14645_1_1_1_3_0_8,Chứng_thư số có hiệu_lực,"chứng_thư số chưa hết hạn , không bị tạm dừng hoặc bị thu_hồi .",0.85
86022_1_1_1_2_0_46,Các dịch_vụ thoát_nước,"các dịch_vụ công_cộng do đơn_vị được giao quản_lý vận_hành hệ_thống thoát_nước cung_cấp , bao_gồm thu_gom , vận_chuyển và xử_lý nước_thải và nước mưa .",0.854
6283_1_1_1_3_0_24,Thay_đổi tổng_thành,thay_thế tổng_thành nguyên_thuỷ bằng tổng_thành khác có tính_năng kỹ_thuật tương_đương .,0.858
54186_1_1_1_3_0_4,Giống vật_nuôi,"quần_thể vật_nuôi cùng loài , cùng nguồn_gốc , có ngoại_hình và cấu_trúc di_truyền tương_tự nhau , được hình_thành , củng_cố , phát_triển do tác_động của con_người ; giống vật_nuôi phải có số_lượng nhất_định để nhân_giống và di_truyền được những đặc_điểm của giống cho thế_hệ sau .",0.857
50606_1_1_1_1_0_15,Bảo_quản VLNCN,"hoạt_động cất_giữ VLNCN trong kho , trong quá_trình vận_chuyển đến nơi sử_dụng hoặc tại nơi sử_dụng .",0.876
22665_1_1_1_1_0_25,Quy_trình bảo_trì_công_trình,"trình_tự thực_hiện các công_việc cần_thiết nhằm phục_hồi chất_lượng các bộ_phận , hạng_mục công_trình để công_trình có khả_năng tiếp_tục thực_hiện chức_năng theo yêu_cầu .",0.874
74234_1_1_1_2_0_17,"Công_trình đường_dây , cáp , đường_ống kỹ_thuật ngầm","các công_trình đường_ống cấp_nước , cấp năng_lượng , thoát nước ; công_trình đường_dây cấp điện , thông_tin liên_lạc được xây_dựng dưới mặt_đất .",0.852
50606_1_1_1_1_0_19,Tiêu_huỷ VLNCN,quá_trình phá_bỏ hoặc làm mất khả_năng tạo ra phản_ứng nổ của VLNCN theo quy_trình công_nghệ đã được xác_định .,0.86
51624_1_1_1_2_0_23,Lập hồ_sơ,"việc tập_hợp và sắp_xếp tài_liệu hình_thành trong quá_trình theo_dõi , giải_quyết công_việc của cơ_quan , tổ_chức , cá_nhân thành hồ_sơ theo những nguyên_tắc và phương_pháp nhất_định .",0.867
27344_1_1_1_2_0_45,Chuyến bay chuyên_cơ,chuyến bay sử_dụng hoàn_toàn riêng_biệt hoặc kết_hợp vận_chuyển thương_mại và được cơ_quan nhà_nước có thẩm_quyền xác_nhận hoặc thông_báo theo quy_định phục_vụ chuyến bay chuyên_cơ .,0.866
22498_1_1_1_1_0_32,Phát_hành báo_chí,việc lưu_hành các sản_phẩm báo_chí đến người sử_dụng báo_chí thông_qua các phương_tiện khác nhau .,0.85
7409_1_1_1_3_0_4,Tiền_mặt,"các loại tiền_giấy , tiền kim_loại do Ngân_hàng Nhà_nước phát_hành ;",0.851
