mention_id,concept_expression,explain_text,expectation
23631_1_1_1_3_0_8,Đưa ra thị_trường,"việc đưa sản_phẩm thủy_sản từ các cơ_sở sản_xuất , kinh_doanh thủy_sản ra tiêu_thụ trong nước hoặc xuất_khẩu .",0.893
60609_1_1_1_3_0_2,Một cửa liên_thông  tại Ban Quản_lý Khu_kinh_tế,"cơ_chế giải_quyết thủ_tục hành_chính cho cá_nhân , tổ_chức đầu_tư vào các khu công_nghiệp , khu kinh_tế_cửa_khẩu trên địa_bàn tỉnh thuộc thẩm_quyền của các sở , ban , ngành có liên_quan được thông_qua một đầu_mối duy_nhất là “ Bộ_phận tiếp_nhận và trả kết_quả ” thuộc Ban Quản_lý Khu_kinh_tế .",0.837
40601_1_1_1_2_0_19,Ranh_giới phía hạ_lưu,đường_thẳng từ điểm cách mép cầu_cảng Vĩnh_Long 500 mét về phía hạ_lưu_nối vuông_góc với mép ngoài tuyến luồng .,0.866
95747_1_6_1_1_0_4,Thời_hạn xuất_trình yêu_cầu thanh_toán séc,30 ngày kể từ ngày ký phát ( không tính thời_gian diễn ra sự_kiện bất_khả_kháng hoặc trở_ngại khách_quan ) .,0.809
121881_1_1_1_1_0_30,SNhà min,"diện_tích xây_dựng nhà ở tái_định_cư tối_thiểu ( m2 ) , được xác_định như sau : SNhà min = SĐơn vị x N",0.85
76163_1_1_1_1_0_12,"Hộ gia_đình người già neo_đơn , không có lương hưu ; hộ gia_đình có lao_động chính duy_nhất","người tàn_tật , người không có khả_năng lao_động , người mất sức lao_động có đời_sống khó_khăn .",0.815
23014_1_1_1_1_0_28,ODA không hoàn lại,hình_thức cung_cấp ODA không phải hoàn lại cho Nhà tài_trợ .,0.869
6556_1_1_1_1_0_29,Thiết_bị có bức_xạ vô_tuyến_điện,"các thiết_bị mà khi hoạt_động có tạo ra sóng vô_tuyến_điện , bao_gồm :",0.877
22345_1_1_1_1_0_8,Hoạt_động kinh_doanh mua_bán nguyên_liệu thuốc_lá,"ngành , nghề kinh_doanh cóđiều kiện không cần giấy_phép .",0.828
115596_1_1_1_1_0_2,Văn_phòng Chính_phủ,"cơ_quan ngang bộ của Chính_phủ , là bộ_máy giúp_việc của Chính_phủ và Thủ_tướng Chính_phủ .",0.833
53298_1_3_1_9_0_16,Hợp_đồng khoa_học và công_nghệ,"văn_bản pháp_lý ràng_buộc trách_nhiệm và quyền_lợi giữa cơ_quan , tổ_chức cấp kinh_phí thực_hiện đề_tài / dự_án ( gọi tắt là bên A ) và đơn_vị chủ_trì thực_hiện đề_tài / dự_án ( gọi tắt là bên B )",0.818
94376_1_1_1_1_0_37,Phương_án cấp_nước cho công_nghiệp chủ_yếu,dùng các trạm bơm nước trực_tiếp từ các dòng chính lên và qua hệ_thống xử_lý làm sạch sau đó đưa vào sử_dụng cho các nhà_máy .,0.836
27421_1_1_1_3_0_6,Tiền mới chưa phát_hành,"các loại tiền_giấy , tiền kim_loại đã được in , đúc và dự_trữ tại các kho tiền của Ngân_hàng Nhà_nước nhưng chưa được phép phát_hành vào lưu_thông .",0.9
41340_1_1_1_3_0_34,Liên_kết nội,liên_kết số_liệu đo từ trên các tuyến của một vùng khảo_sát về một mức trường từ thống_nhất .,0.862
8373_1_1_1_1_0_61,Mạng_lưới đô_thị nêu trên,"cơ_sở để phát_triển đô_thị_hoá , hiện_đại_hoá các điểm dân_cư nông_thôn trong vùng .",0.813
6117_1_1_1_8_0_28,Những người có họ trong phạm_vi ba đời,"những người cùng một gốc sinh ra : cha_mẹ là đời thứ nhất ; anh chị_em cùng cha_mẹ , cùng cha khác mẹ , cùng mẹ khác cha là đời thứ hai ; anh chị_em con chú con bác , con cô con cậu , con dì là đời thứ ba ;",0.861
94341_1_1_1_3_0_54,Ống dẫn,"tất_cả các bộ_phận mà thông_qua đó khí_đốt được vận_chuyển , bao_gồm đường_ống , van , khớp nối , mép bích . . .",0.904
86025_1_2_1_9_0_5,Đơn_vị thực_hiện thu phí,các đơn_vị vệ_sinh môi_trường được Ủy_ban nhân_dân tỉnh giao nhiệm_vụ thực_hiện công_tác vệ_sinh môi_trường trên địa_bàn .,0.835
60985_1_1_1_2_0_6,"Đất tại khu_vực giáp_ranh giữa các tỉnh , thành_phố trực_thuộc Trung_ương","khu đất giáp sát nhau tại đường phân địa_giới hành_chính giữa các tỉnh , thành_phố trực_thuộc Trung_ương .",0.821
19637_1_1_1_1_0_5,Năm 2005,"năm cuối của kế_hoạch 5 năm 2001 - 2005 , có ý_nghĩa rất quan_trọng đối_với việc tăng cao hơn nữa khả_năng hoàn_thành các mục_tiêu_phát_triển_kinh_tế - xã_hội của kế_hoạch 5 năm 2001 - 2005 đã được xác_định trong Nghị_quyết số 55/2001 / QH10 của Quốc_hội tạo đà phát_triển cho những năm đầu của kế_hoạch 5 năm tiếp_theo .",0.831
99069_1_1_1_3_0_2,Trang_thông_tin_điện_tử nội_bộ,"trang_thông_tin_điện_tử của cơ_quan , tổ_chức , doanh_nghiệp cung_cấp thông_tin về chức_năng , quyền_hạn , nhiệm_vụ , tổ_chức bộ_máy , dịch_vụ , sản_phẩm , ngành_nghề và thông_tin khác phục_vụ cho hoạt_động của chính cơ_quan , tổ_chức , doanh_nghiệp đó và không cung_cấp thông_tin tổng_hợp .",0.85
