mention_id,concept_expression,explain_text,expectation
53115_1_1_1_4_0_6,Bảo_vệ tài_nguyên nước,"biện_pháp phòng , chống ô_nhiễm , suy_thoái , cạn_kiệt nguồn nước , bảo_đảm an_toàn nguồn nước và bảo_vệ khả_năng phát_triển tài_nguyên_nước .",0.79
27406_1_1_1_4_0_11,Giá bán_lẻ,giá bán thuốc trực_tiếp cho người sử_dụng tại các cơ_sở bán_lẻ .,0.738
7040_1_1_1_3_0_4,Kinh_doanh,"việc thực_hiện một , một_số hoặc tất_cả cáccông đoạn của quá_trình đầu_tư , từ sản_xuất đến tiêu_thụ sản_phẩm hoặc cung_ứng dịch_vụ trên thị_trường nhằm mục_đích sinh_lợi .",0.417
104473_1_1_1_3_0_5,Vùng đặc_biệt_khó_khăn về đời_sống,"vùng có tỷ_lệ hộ nghèo cao , thiếu đất sản_xuất , thiếu nước sản_xuất , thiếu nước sinh_hoạt , thiếu cơ_sở hạ_tầng , ô_nhiễm môi_trường , tác_động phóng_xạ ; làng chài trên sông_nước , đầm_phá không có điều_kiện hỗ_trợ đầu_tư để phát_triển kinh_tế , xã_hội , cải_thiện đời_sống , phải bố_trí tái_định_cư nơi khác .",0.809
20920_1_1_1_1_0_5,Trái_phiếu được Chính_phủ bảo_lãnh,"loại chứng_khoán nợ do doanh_nghiệp phát_hành nhằm huy_động vốn cho các công_trình theo chỉ_định của Thủ_tướng Chính_phủ , được Chính_phủ cam_kết trước các nhà đầu_tư về việc thanh_toán đúng hạn của tổ_chức phát_hành .",0.065
22860_1_1_1_4_0_4,Quảng_cáo,"giới_thiệu đến người tiêu_dùng về hoạt_động kinh_doanh , hàng_hoá , dịch_vụ , bao_gồm dịch_vụ có mục_đích sinh lời và dịch_vụ không có mục_đích sinh lời .",0.35
118309_1_1_1_2_0_30,Người chơi,các đối_tượng được phép tham_gia đặt_cược theo quy_định tại khoản 1 Điều 7 của Nghị_định này .,0.143
37697_1_1_1_3_0_22,Sửa_chữa định_kỳ,"việc sửa_chữa được thực_hiện định_kỳ theo quy_định của quy_trình bảo_trì hoặc khi công_trình hàng_không có biểu_hiện xuống_cấp về chất_lượng , không đảm_bảo an_toàn cho việc khai_thác , sử_dụng công_trình .",0.362
73972_1_1_1_3_0_37,Chỉ_huy nổ mìn,"người đủ điều_kiện về trình_độ và kinh_nghiệm , chịu trách_nhiệm hướng_dẫn , điều_hành , giám_sát toàn_bộ hoạt_động liên_quan đến sử_dụng vật_liệu_nổ_công_nghiệp tại khu_vực nổ mìn và thực_hiện các biện_pháp xử_lý , ngăn_chặn cần_thiết để đảm_bảo quá_trình nổ mìn an_toàn , hiệu_quả , không xảy ra thất_thoát vật_liệu_nổ_công_nghiệp .",0.805
99847_1_1_1_3_0_37,Trạm nạp LPG vào chai,"nơi sử_dụng phương_tiện , thiết_bị chuyên_dùng nạp LPG vào chai LPG hoặc xe_bồn để bán cho khách_hàng .",0.298
56690_1_1_1_2_0_17,Đài_tàu,"đài_di_động có sử_dụng tần_số thuộc nghiệp_vụ di_động hàng_hải đặt trên tàu , thuyền và các phương_tiện nổi khác .",0.842
124767_1_1_1_3_0_17,Sửa_chữa,"những hoạt_động hoặc những biện_pháp kỹ_thuật nhằm khôi_phục khả_năng hoạt_động bình_thường của xe ô_tô bằng cách phục_hồi hoặc thay_thế các chi_tiết , hệ_thống , tổng_thành đã bị hư_hỏng hoặc có dấu_hiệu dẫn đến hư_hỏng .",0.382
14363_1_1_1_3_0_4,Sản_phẩm phần_mềm,"phần_mềm và tài_liệu kèm theo được sản_xuất và được thể_hiện hay lưu_trữ ở bất_kỳ một dạng vật_thể_nào , có_thể được mua_bán hoặc chuyển_giao cho đối_tượng khác khai_thác , sử_dụng .",0.766
14435_1_1_1_4_0_19,Giá_trị về lâm_sản,"giá_trị của toàn_bộ gỗ , lâm_sản ngoài gỗ trên diện_tích rừng bị phá ;",0.73
11760_1_1_1_3_0_42,Trái_phiếu chính_quyền địa_phương,"loại trái_phiếu có kỳ_hạn từ một năm trở lên , do Ủy_ban nhân_dân cấp tỉnh phát_hành hoặc uỷ_quyền phát_hành nhằm huy_động vốn cho công_trình , dự_án đầu_tư của địa_phương .",0.755
19634_1_1_1_2_0_16,Nhà_thầu phụ,nhà_thầu có quan_hệ hợp_đồng với nhà_thầu chính hoặc tổng_thầu để thực_hiện một phần công_việc của nhà_thầu chính hoặc tổng thầu .,0.813
19476_1_1_1_3_0_26,Đoàn_lai,"đoàn gồm nhiều phương_tiện được ghép với nhau , di_chuyển nhờ phương_tiện có động_cơ chuyên lai kéo , lai đẩy hoặc lai áp mạn .",0.429
14789_1_1_1_3_0_22,Bên nhận bảo_lãnh,"các tổ_chức cho chủ đầu_tư , nhà xuất_khẩu vay vốn hoặc bên mời_thầu các hợp_đồng xuất_khẩu .",0.837
92941_1_1_1_3_0_6,Trang_thông_tin_điện_tử thành_phần,"Trang_Thông_tin điện_tử của các sở , ban , ngành cấp tỉnh và Ủy_ban nhân_dân các huyện , thành_phố Cà_Mau , được sự cho phép của cơ_quan có thẩm_quyền tích_hợp với Cổng Thông_tin điện_tử tỉnh , trên môi_trường mạng phục_vụ cho việc cung_cấp , trao_đổi thông_tin .",0.772
20115_1_1_1_2_0_12,Chuẩn_mực kiểm_toán,quy_định và hướng_dẫn về các nguyên_tắc và thủ_tục kiểm_toán làm cơ_sở để kiểm_toán_viên và doanh_nghiệp kiểm_toán thực_hiện kiểm_toán và làm cơ_sở kiểm_soát chất_lượng hoạt_động kiểm_toán .,0.782
47435_1_1_1_2_0_34,Suất tiêu_hao nhiên_liệu tinh,khối_lượng nhiên_liệu tiêu_hao để sản_xuất một kWh điện_năng tại điểm giao_nhận ( kg / kWh ) .,0.761
122366_1_1_1_3_0_10,Cán_bộ lãnh_sự,"viên_chức ngoại_giao , viên_chức lãnh_sự được giao thực_hiện công_tác hộ_tịch tại Cơ_quan đại_diện .",0.721
123514_1_1_1_2_0_27,Ươm tạo công_nghệ,"quá_trình nhằm tạo ra , hoàn_thiện , thương_mại hóa công_nghệ từ ý_tưởng công_nghệ , kết_quả nghiên_cứu khoa_học và phát_triển công_nghệ hoặc từ công_nghệ chưa hoàn_thiện thông_qua các hoạt_động trợ_giúp về hạ_tầng kỹ_thuật , nguồn_lực và dịch_vụ cần_thiết .",0.775
40097_1_1_1_3_0_4,Nước sinh_hoạt,"nước hợp vệ_sinh dùng cho ăn_uống , vệ_sinh của con_người .",0.754
111603_1_1_1_2_0_27,Khai_thác khoáng_sản,"hoạt_động nhằm thu_hồi khoáng_sản , bao_gồm xây_dựng cơ_bản mỏ , khai đào , phân_loại , làm_giàu và các hoạt_động khác có liên_quan .",0.344
18130_1_1_1_3_0_14,Tổng_động_viên,biện_pháp huy_động mọi nguồn_lực của đất_nước để chống chiến_tranh xâm_lược .,0.793
95622_1_1_1_3_0_4,Thi_đua,"hoạt_động có tổ_chức với sự tham_gia tự_nguyện của cá_nhân , tập_thể nhằm phấn_đấu đạt được thành_tích tốt nhất trong xây_dựng và bảo_vệ Tổ_quốc .",0.31
48608_1_1_1_2_0_12,Cuộc thi cấp tỉnh,cuộc thi do UBND tỉnh tổ_chức ( hoặc các cuộc thi có quy_chế hay điều_lệ được Chủ_tịch UBND tỉnh phê_duyệt và nhất_trí cho tổ_chức ) .,0.739
32360_1_1_1_2_0_12,Sức chở của phương_tiện,trọng_tải toàn_phần hoặc sức chở người của phương_tiện ứng với vạch dấu mớn_nước an_toàn .,0.754
37821_1_1_1_3_0_14,Cơ_sở s ả n xu ấ t,"doanh_nghiệp sản_xuất , lắp_ráp Xe có đủ điều_kiện cơ_sở vật_chất kỹ_thuật theo quy_định .",0.766
32274_1_1_1_3_0_26,Vùng đón trả hoa_tiêu,"vùng nước được cơ_quan có thẩm_quyền công_bố để phương_tiện thủy nước_ngoài , tầu biển Việt_Nam neo đậu đón trả hoa_tiêu .",0.338
76588_1_1_1_2_0_2,Trạm BTS loại 1,"công_trình xây_dựng bao_gồm nhà trạm và cột ăng ten thu , phát_sóng_thông_tin_di_động được xây_dựng trên mặt_đất ;",0.674
65003_1_1_1_2_0_6,Vạch dấu mớn_nước an_toàn,vạch đánh_dấu trên phương_tiện để giới_hạn phần thân phương_tiện được phép chìm trong nước khi hoạt_động .,0.797
87579_1_1_1_2_0_41,Mạch đo,hệ_thống mạch điện liên_kết các thiết_bị thực_hiện chức_năng đo_đếm điện_năng .,0.786
87528_1_1_1_3_0_20,Niêm_yết giá,"việc các tổ_chức , cá_nhân sản_xuất , kinh_doanh thực_hiện thông_báo công_khai giá bán hàng_hóa , dịch_vụ bằng những hình_thức thích_hợp tại cửa_hàng , nơi giao_dịch mua_bán hàng_hóa hoặc cung_ứng dịch_vụ .",0.788
122482_1_1_1_3_0_21,"Tổ_chức , cá_nhân sản_xuất phương_tiện đo","tổ_chức , cá_nhân thực_hiện một hoặc các hoạt_động chuyển_giao công_nghệ , chế_tạo , lắp_ráp , cải_tiến , cải_tạo phương_tiện đo .",0.744
119278_1_1_1_3_0_51,Hộ thoát nước,"các tổ_chức , cá_nhân , hộ gia_đình trong nước , nước_ngoài sinh_sống và hoạt_động trên lãnh_thổ Việt_Nam xả nước_thải vào hệ_thống thoát nước .",0.74
12793_1_1_1_3_0_8,Tổ_chức,"doanh_nghiệp , hội , hiệp_hội doanh_nghiệp , cơ_quan hành_chính , đơn_vị sự_nghiệp và các tổ_chức khác được thành_lập hợp_pháp theo quy_định của pháp_luật có phản_ánh , kiến_nghị .",0.759
27662_1_1_1_1_0_307,Công_suất ! [ ],công_suất tổ máy đạt được tại thời_điểm ! [ ] ( http : / / moj.gov.vn / vbpq / PublishingImages / 45.2011 . TT.BCT / 16 . jpg ) .,0.773
6530_1_1_1_2_0_16,Khả_năng tài_chính của khách_hàng vay,"khả_năng về vốn , tài_sản của khách_hàng vay để bảo_đảm hoạt_động thường_xuyên và thực_hiện các nghĩa_vụ thanh_toán .",0.746
122754_1_1_1_2_0_16,Nguồn tin chính_thức,"những thông_tin được đăng , phát trên báo_chí Việt_Nam hoặc trên các trang_thông_tin_điện_tử của cơ_quan Đảng , Nhà_nước theo quy_định pháp_luật về báo_chí , sở_hữu_trí_tuệ .",0.343
96221_1_1_1_2_0_6,Vị_thu ố c y_học cổ_truyền,"một loại dược_liệu được chế_biến theo lý_luận và phương_pháp của y_học_cổ_truyền dùng để sản_xuất thuốc cổ_truyền hoặc dùng để phòng_bệnh , chữa_bệnh .",0.722
126916_1_1_1_3_0_21,Các tổ_chức khác,những đơn_vị có GDĐT với KBNN trong hoạt_động quản_lý ngân quỹ nhà nướcvà các GDĐT khác trong hoạt_động nghiệp_vụ KBNN ( nếu có ) .,0.693
