mention_id,concept_expression,explain_text,expectation
37034_1_2_5_3_0_7,Thiệt_hại,tài_sản thì giá_trị tài_sản bị thiệt_hại được xác_định trên cơ_sở giá_trị thực_tế của tài_sản ( tính theo giá thị_trường tại thời_điểm xảy ra thiệt_hại ) trừ đi giá_trị còn lại của tài_sản ( nếu có ) tại thời_điểm xảy ra thiệt_hại ;,0.8
15860_1_1_1_1_0_12,Kế_toán quản_trị,"việc thu_thập , xử_lý , phân_tích và cung_cấp thông_tin kinh_tế , tài_chính theo yêu_cầu quản_trị và quyết_định kinh_tế , tài_chính trong nội_bộ đơn_vị kế_toán ( Luật Kế_toán , khoản 3 , Điều 4 ) .",0.85
4768_1_1_1_3_0_20,Người mua,"tập_thể lao_động , cá_nhân , doanh_nghiệp đủ điều_kiện và năng_lực tham_gia đấu_giá mua doanh_nghiệp .",0.903
21423_1_1_1_2_0_22,Chủ_trì thiết_kế,"người trực_tiếp tổ_chức và thực_hiện một lĩnh_vực chuyên_môn của đồ_án thiết_kế theo sự chỉ_đạo của chủ_nhiệm đồ_án thiết_kế , chịu trách_nhiệm về nội_dung và chất_lượng của lĩnh_vực chuyên_môn đó .",0.84
15052_1_1_1_6_0_68,Quỹ mở,quỹ đại_chúng mà chứng_chỉ quỹ đã chào_bán ra_công_chúng phải được mua lại theo yêu_cầu của nhà đầu_tư .,0.866
9800_1_1_1_5_0_1,Ban Quản_lý Dự_án Ngân_hàng,"một tổ_chức có tư_cách pháp_nhân đầy_đủ , có con_dấu riêng , được mở các tài_khoản tiền đồng và ngoại_tệ của Dự_án tại các Ngân_hàng_phục_vụ theo đúng chức_năng chủ đầu_tư .",0.81
33547_1_4_1_4_0_3,Tổ_chức thực_hiện chức_năng đầu_mối thông_tin khoa_học_và_công_nghệ quốc_gia,"tổ_chức phục_vụ quản_lý nhà_nước , công_tác nghiên_cứu khoa_học và phát_triển công_nghệ và là đầu_mối liên_kết của mạng_lưới các tổ_chức thực_hiện chức_năng thông_tin khoa_học_và_công_nghệ trên toàn_quốc .",0.867
10704_1_1_1_1_0_1,Đại_học tư_thục,các cơ_sở đại_học do tư_nhân lập ra theo Quy_chế này và kinh_phí hoạt_động do tư_nhân đầu_tư hoặc đóng_góp .,0.801
73548_1_1_1_1_0_4,Ban Dân_tộc tỉnh,"cơ_quan tham_mưu giúp UBND tỉnh thực_hiện chức_năng quản_lý nhà_nước về lĩnh_vực công_tác dân_tộc , tôn_giáo , định_canh định_cư trong phạm_vi địa_bàn tỉnh .",0.803
15910_1_1_1_1_0_2,Thanh_tra Tài_nguyên và Môi_trường,"cơ_quan thanh_tra theo ngành , lĩnh_vực , bao_gồm Thanh_tra Bộ Tài_nguyên và Môi_trường ( sau đây gọi là Thanh_tra Bộ ) và Thanh_tra Sở Tài_nguyên và Môi_trường ( sau đây gọi là Thanh_tra Sở ) thực_hiện chức_năng thanh_tra hành_chính và thanh_tra chuyên_ngành về tài_nguyên đất , tài_nguyên nước , tài_nguyên khoáng_sản , môi_trường , khí_tượng thuỷ_văn , đo_đạc và bản_đồ ( sau đây gọi chung là tài_nguyên và môi_trường ) theo quy_định của pháp_luật .",0.834
102527_1_2_1_5_0_3,"Tổ_chức , cá_nhân",hộ thoát_nước có các quyền sau đây :,0.815
30673_1_1_1_3_0_51,Trang thông_tin điện_tử,"hệ_thống thông_tin_dùng để thiết_lập một hoặc nhiều trang thông_tin được trình_bày dưới dạng ký_hiệu , số , chữ_viết , hình_ảnh , âm_thanh và các dạng thông_tin khác phục_vụ cho việc cung_cấp và sử_dụng thông_tin trên Internet .",0.886
78256_1_1_1_2_0_6,Phó_Chánh Thanh_tra tỉnh,"người giúp Chánh_Thanh_tra tỉnh và chịu trách_nhiệm trước Chánh Thanh_tra tỉnh và trước pháp_luật về nhiệm_vụ được phân_công ; khi Chánh_Thanh_tra tỉnh vắng_mặt , một Phó_Chánh Thanh_tra tỉnh được Chánh_Thanh_tra tỉnh_ủy_nhiệm điều_hành các hoạt_động của Thanh_tra tỉnh .",0.832
1888_1_1_1_1_0_22,Người có trình_độ tương_đương_đại_học pháp_lý,"người học hết chương_trình đại_học pháp_lý nhưng không đủ điều_kiện hoặc vì lý_do nào đó không dự thi tốt_nghiệp được ; người đã tốt_nghiệp Cao_đẳng Tòa_án , Kiểm_sát và Công_an ( có giấy chứng_nhận của Nhà_trường ) ; người đang học pháp_lý tại_chức mà đã học xong 3/4 chương_trình thì cũng được công_nhận có trình_độ tương_đương_đại_học pháp_lý .",0.872
123151_1_1_1_2_0_6,Chương_trình môn_học,"văn_bản xác_định vị_trí , vai_trò môn_học trong thực_hiện mục_tiêu giáo_dục_phổ_thông , mục_tiêu và yêu_cầu cần đạt , nội_dung giáo_dục cốt_lõi của môn_học ở mỗi lớp hoặc cấp học đối_với tất_cả học_sinh trên phạm_vi toàn_quốc , định hướng kế_hoạch dạy_học môn_học ở mỗi lớp và mỗi cấp học , phương_pháp và hình_thức tổ_chức giáo_dục , đánh_giá kết_quả giáo_dục của môn_học .",0.878
27098_1_1_1_3_0_9,Phân khu phục_hồi_sinh_thái,bộ_phận của khu rừng_đặc_dụng được xác_lập để khôi_phục các hệ sinh_thái nhằm đáp_ứng yêu_cầu chủ_yếu là phục_hồi rừng và các hệ sinh_thái tự_nhiên .,0.816
19734_1_1_1_1_0_6,Hiện_nay số cán_bộ,"người dân_tộc Khơ-me , Chăm đang công_tác trong lĩnh_vực tài_chính tại các tỉnh miền Tây_Nam_Bộ_chiếm tỷ_lệ rất thấp , nhất là số cán_bộ làm công_tác tài_chính kế_toán xã , phường , thị trần .",0.825
54538_1_4_1_5_0_6,"Cán_bộ chuyên_trách , bán chuyên_trách công_nghệ_thông_tin phụ_trách vận_hành hệ_thống thông_tin","người phụ_trách về kỹ_thuật an_toàn thông_tin tại cơ_quan , đơn_vị mình ; Khi cần_thiết có_thể sử_dụng dịch_vụ của các tổ_chức bảo_đảm an_toàn thông_tin đủ năng_lực được Nhà_nước công_nhận .",0.801
120293_1_2_1_2_0_6,Phó_Giám_đốc Sở Xây_dựng,"người giúp Giám_đốc Sở Xây_dựng , chịu trách_nhiệm trước Giám_đốc Sở Xây_dựng và trước pháp_luật về nhiệm_vụ được phân_công ; khi Giám_đốc Sở Xây_dựng vắng_mặt , một Phó_Giám_đốc Sở Xây_dựng được Giám_đốc Sở Xây_dựng_ủy_nhiệm điều_hành các hoạt_động của Sở Xây_dựng .",0.804
70617_1_1_1_3_0_17,Hạn_chế hiện_nay của đội_ngũ cán_bộ công_chức cấp xã,"tỷ_lệ nữ thấp ; mặt_bằng học_vấn thấp , nhất là cán_bộ chuyên_trách qua bầu_cử và cán_bộ dân_tộc ; độ tuổi từ 45 trở xuống chiếm tỷ_lệ cao nhưng đa_phần chưa qua đào_tạo chuyên_môn , nhiều nhất là cán_bộ chuyên_trách mặt_trận , đoàn_thể ; số người được trang_bị kiến_thức quản_lý nhà_nước , lý_luận chính_trị ít ; yếu về trình_độ nhận_thức , kỹ_năng giải_quyết công_việc , kỹ_năng chuyên_môn nên lúng_túng trong phát_huy trách_nhiệm , thái_độ làm_việc thụ_động , ỷ_lại vào cấp trên .",0.801
7395_1_1_1_2_0_5,Bên nước_ngoài,tổ_chức hoặc cá_nhân nước_ngoài được phép tham_gia hoạt_độngkinh doanh hoặc đầu_tư chứng_khoán tại Việt_Nam .,0.847
