mention_id,concept_expression,explain_text,expectation
20920_1_1_1_1_0_12,Phát_hành trái_phiếu,việc bán trái_phiếu cho các đối_tượng mua .,0.79
12247_1_1_1_1_0_1244,Số_liệu để ghi vào chỉ_tiêu “ Vay và nợ dài_hạn,"tổng_số_dư Có các Tài_khoản 341 “ Vay trung , dài_hạn ” , Tài_khoản 342 “ Nợ dài_hạn ” , Tài_khoản 343 “ Trái_phiếu phát_hành ” .",0.751
14928_1_1_1_1_0_32,Thông_tấn_xã Việt_Nam thực_hiện tốt chức_năng,"cơ_quan phát các thông_tin chính_thức về hoạt_động của Đảng và Nhà_nước ; chủ_động , kịp_thời đăng , phát các thông_tin bác_bỏ những thông_tin sai_lệch , xuyên_tạc và thù_địch .",0.75
116270_1_3_1_1_0_6,Dân_số vùng nông_thôn,dân_số của các xã còn lại .,0.756
65892_1_1_1_2_0_49,Dự_án đầu_tư,"dự_án tạo mới , rnở rộng hoặc cải_tạo những cơ_sở vật_chất nhất_định nhằm đạt được sự tăng_trưởng về số_lượng hoặc duy_trì cải_tiến , nâng cao chất_lượng của sản_phẩm hoặc dịch_vụ trong khoang thời_gian xác_định .",0.805
46705_1_1_1_3_0_14,Sự_kiện bất_khả_kháng,sự_kiện xảy ra một_cách khách_quan không_thể lường trước được và không_thể khắc_phục được mặc_dù đã áp_dụng mọi biện_pháp cần_thiết và khả_năng cho phép .,0.793
8945_1_1_1_2_0_20,Thời_gian sử_dụng tài_sản_cố_định,"thời_gian doanh_nghiệp dự_kiến sử_dụng tài_sản_cố_định vào hoạt_động kinh_doanh trong điều_kiện bình_thường , phù_hợp với các thông_số kinh_tế - kỹ_thuật của tài_sản_cố_định và các yếu_tố khác có liên_quan đến sự hoạt_động của tài_sản_cố_định .",0.783
18423_1_1_1_1_0_1,Trung_tâm Thông_tin,"đơn_vị thuộc Bộ Bưu_chính , Viễn_thông , thực_hiện chức_năng tổ_chức , quản_lý thống_nhất hoạt_động thông_tin và tư_liệu về bưu_chính , viễn_thông , công_nghệ thông_tin , điện_tử , Internet , truyền_dẫn phát_sóng , tần_số vô_tuyến điện và cơ_sở hạ_tầng thông_tin quốc_gia ( sau đây gọi chung là bưu_chính , viễn_thông và công_nghệ thông_tin ) ; tổ_chức , quản_lý mạng tin_học và thực_hiện các chương_trình ứng_dụng công_nghệ thông_tin , tin_học_hoá quản_lý hành_chính nhà_nước của Bộ .",0.749
12891_1_2_2_4_0_7,Chấp_hành đầy_đủ hình_phạt bổ_sung,"phạt tiền , bồi_thường thiệt_hại , án_phí hoặc nghĩa_vụ dân_sự khác sau khi được đặc_xá .",0.715
30458_1_1_1_3_0_22,Danh_mục tài_trợ,"danh_mục gồm một hoặc nhiều chương_trình , dự_án và các khoản viện_trợ phi dự_án yêu_cầu tài_trợ ODA và vốn_vay ưu_đãi được cấp có thẩm_quyền của Việt_Nam phê_duyệt và nhà tài_trợ thống_nhất tài_trợ , làm cơ_sở để cơ_quan chủ_quản phối_hợp với nhà tài_trợ xây_dựng văn_kiện chương_trình , dự_án và viện_trợ phi dự_án .",0.846
101106_1_1_1_2_0_15,Kiểu_dáng công_nghiệp,"hình_dáng bên ngoài của sản_phẩm , hàng_hoá được thể_hiện bằng hình_khối , đường_nét , màu_sắc hoặc sự kết_hợp những yếu_tố này .",0.82
127875_1_1_1_6_0_2,Thí_sinh có vẻ đẹp tự_nhiên,thí_sinh chưa thực_hiện phẫu_thuật thẩm_mỹ .,0.702
96122_1_3_1_10_0_11,Người giúp_sức,người tạo điều_kiện tinh_thần hoặc vật_chất cho việc thực_hiện tội_phạm .,0.757
12520_1_1_1_1_0_63,Năng_lượng ngày_càng,"thách_thức lớn trong quá_trình thực_hiện mục_tiêu về tốc_độ phát_triển nền kinh_tế , do đó cần ứng_dụng công_nghệ_cao để đảm_bảo hiệu_quả của quá_trình sản_xuất và kinh_doanh của ngành năng_lượng , cung_cấp dịch_vụ chất_lượng cao với mục_tiêu đảm_bảo_an_ninh năng_lượng quốc_gia ;",0.713
46204_1_1_1_4_0_3,Cục Đường_thuỷ nội_địa Việt_Nam trực_thuộc Bộ Giao_thông vận_tải,"cơ_quan có thẩm_quyền thực_hiện việc cấp , gia_hạn giấy_phép và thu lệ_phí của các đối_tượng quy_định tại khoản 1 , 3 và 4 Điều 2 Thông_tư này .",0.725
22072_1_4_1_2_0_5,Hội_thẩm,"cán_bộ , công_chức , quân_nhân tại_ngũ , công_nhân quốc_phòng thì thời_gian làm nhiệm_vụ Hội_thẩm được tính vào thời_gian làm_việc ở cơ_quan , đơn_vị .",0.743
8088_1_1_1_1_0_1,Tổng_Công_ty,"doanh_nghiệp Nhà_nước có ít_nhất 5 đơn_vị thành_viên quan_hệ với nhau về công_nghệ , tài_chính , chương_trình đầu_tư , phát_triển , dịch_vụ về : cung_ứng , vận_chuyển , tiêu_thụ , thông_tin , đào_tạo .",0.74
1083_1_4_1_1_0_1,"Riêng về Công_giáo , quan_hệ về tôn_giáo giữa Giáo_hội Việt_Nam với Toà_thánh La-mã",vấn_đề nội_bộ của Công_giáo .,0.729
121057_1_1_1_2_0_4,Dịch_vụ hành_chính công,"những dịch_vụ liên_quan đến hoạt_động thực_thi pháp_luật , không nhằm mục_tiêu lợi_nhuận , do cơ_quan nhà_nước có thẩm_quyền cấp cho tổ_chức , cá_nhân dưới hình_thức các loại giấy_tờ có giá_trị pháp_lý trong các lĩnh_vực mà cơ_quan nhà_nước đó quản_lý .",0.786
2083_1_4_1_2_0_2,Cơ_quan chủ_quản báo_chí,tổ_chức đứng_tên xin cấp giấy_phép hoạt_động của báo_chí và trực_tiếp_quản_lý cơ_quan báo_chí .,0.719
46708_1_1_1_3_0_9,Bên mua điện,"tổ_chức , cá_nhân mua điện để sử_dụng hoặc để bán_lẻ điện cho khách_hàng sử_dụng điện , bao_gồm :",0.778
101777_1_1_1_2_0_12,Đơn_vị cấp_nước bán_lẻ,đơn_vị cấp_nước thực_hiện việc bán_nước_sạch trực_tiếp đến khách_hàng sử_dụng nước .,0.762
80017_1_1_1_3_0_12,Công_trình đầu_mối kỹ_thuật ngầm,"các công_trình_hạ_tầng_kỹ_thuật ngầm , bao_gồm : Trạm cấp_nước , hệ_thống điều_phối cấp_nước , trạm xử_lý nước_thải , trạm biến_áp , trạm gas . . .",0.852
11611_1_1_1_2_0_4,Khu_công_nghiệp,"khu chuyên sản_xuất hàng công_nghiệp và thực_hiện các dịch_vụ cho sản_xuất công_nghiệp , có ranh_giới địa_lý xác_định , được thành_lập theo điều_kiện , trình_tự và thủ_tục quy_định tại Nghị_định này .",0.806
123255_1_3_4_13_0_17,b ) 03 bản đơn hàng nhượng lại nguyên_liệu làm thuốc,"dược chất gây nghiện , dược chất hướng thần , tiền chất dùng làm thuốc theo Mẫu_số 19 tại Phụ_lục II ban_hành kèm theo Nghị_định này ;",0.707
23984_1_1_1_1_0_12,Chi_phí quản_lý dự_án_đầu_tư,"toàn_bộ các khoản chi_phí cần_thiết để chủ đầu_tư , ban quản_lý dự_án ( BQLDA ) tổ_chức thực_hiện nhiệm_vụ quản_lý dự_án trong suốt quá_trình đầu_tư của dự_án .",0.767
5752_1_6_1_3_0_4,Thời_điểm kết_thúc liên_lạc,"thời_điểm tổng_đài nhận được tín_hiệu đặt máy của bên chủ gọi , hoặc tín_hiệu đặt máy của bên bị gọi theo tiêu_chuẩn kỹ_thuật về báo_hiệu của Tổng_cục Bưu_điện .",0.719
102515_1_2_1_3_0_2,Phụ_cấp lưu_trú,"khoản tiền do cơ_quan , đơn_vị_chi_trả cho người đi công_tác phải nghỉ lại nơi đến công_tác để hỗ_trợ tiền ăn và tiêu vặt cho người đi công_tác , được tính từ ngày bắt_đầu đi công_tác đến khi trở về cơ_quan , đơn_vị ( bao_gồm thời_gian đi trên đường , thời_gian lưu_trú tại nơi đến công_tác ) , mức chi cụ_thể :",0.765
26580_1_1_1_2_0_10,Mô_hình trình_diễn,một nội_dung của dự_án khuyến_nông được thực_hiện nhằm áp_dụng các tiến_bộ khoa_học công_nghệ và / hoặc tiến_bộ về quản_lý có quy_mô phù_hợp để làm mẫu nhân ra diện rộng .,0.734
56559_1_1_1_3_0_23,"Đất sản_xuất , kinh_doanh phi nông_nghiệp","đất làm mặt_bằng để xây_dựng khu công_nghiệp , cụm công_nghiệp , khu chế_xuất ; đất thương_mại , dịch_vụ ; đất cơ_sở sản_xuất phi nông_nghiệp ( kể_cả trụ_sở , văn_phòng đại_diện , sân kho và nhà_kho của tổ_chức kinh_tế ) ; đất sử_dụng cho hoạt_động khoáng_sản ; đất sản_xuất vật_liệu xây_dựng , làm đồ gốm .",0.767
20048_1_1_1_1_0_2,"Ban quản_lý Khu_kinh_tế mở Chu_Lai ,",đầu_mối hướng_dẫn các nhà đầu_tư có dự_án_đầu_tư vào Khu_kinh_tế mở Chu_Lai về việc đăng_ký hưởng các ưu_đãi_đầu_tư .,0.712
65535_1_1_1_1_0_19,"Các điểm , bãi trông_giữ phương_tiện thuộc khu_vực thành_thị","các điểm , bãi trông_giữ trên địa_bàn phường , thị_trấn ; các điểm , bãi trông_giữ phương_tiện thuộc khu_vực nông_thôn là các điểm , bãi trông_giữ trên địa_bàn các xã còn lại .",0.709
54692_1_1_1_2_0_19,Danh_mục hồ_sơ,"bảng kê hệ_thống hồ_sơ dự_kiến hình_thành trong quá_trình hoạt_động của HĐND và UBND cấp xã trong một năm kèm theo ký_hiệu , đơn_vị ( hoặc người ) lập và thời_hạn bảo_quản của mỗi hồ_sơ .",0.838
18472_1_3_1_2_0_6,Tổng_giám_đốc ( Giám_đốc ) tổ_chức tài_chính quy_mô nhỏ,đại_diện pháp_nhân của tổ_chức tài_chính quy_mô nhỏ .,0.715
21797_1_1_1_1_0_11,Hàng_hoá,"nông , lâm , thuỷ_sản chưa qua chế_biến ; đất , đá , cát , sỏi , các phế_liệu mua của người bán không có hoá_đơn , có Bảng_kê ( nay là hóa_đơn thu_mua hàng nông , lâm , thuỷ_sản đối_với hàng_hóa là nông , lâm , thuỷ_sản )",0.727
121881_1_1_1_1_0_30,SNhà min,"diện_tích xây_dựng nhà ở tái_định_cư tối_thiểu ( m2 ) , được xác_định như sau : SNhà min = SĐơn vị x N",0.768
