mention_id,concept_expression,explain_text,expectation
12441_1_1_1_2_0_4,Chuyến bay chuyên_cơ,chuyến bay được sử_dụng hoàn_toàn riêng_biệt hoặc kết_hợp vận_chuyển thương_mại và được cơ_quan nhà_nước có thẩm_quyền xác_nhận hoặc thông_báo theo quy_định của Nghị_định này .,0.404
39419_1_1_1_2_0_15,Giá_trị còn lại trên sổ kế_toán của TSCĐ,hiệu_số giữa nguyên giá TSCĐ và số khấu_hao luỹ_kế ( hoặc giá_trị hao_mòn luỹ_kế ) của TSCĐ tính đến thời_điểm báo_cáo .,0.767
27706_1_1_1_4_0_13,Liên_thông trong giáo_dục đại_học,biện_pháp tổ_chức đào_tạo trong đó người học được sử_dụng kết_quả học_tập đã có để học tiếp ở trình_độ cao hơn cùng ngành đào_tạo hoặc khi chuyển sang ngành đào_tạo hay trình_độ đào_tạo khác .,0.742
20671_1_1_1_4_0_17,Đài_vô_tuyến_điện,một hay nhiều thiết_bị vô_tuyến_điện kể_cả thiết_bị phụ kèm theo tại một địa_điểm để thực_hiện một nghiệp_vụ vô_tuyến_điện .,0.845
41134_1_1_1_2_0_16,Hiệp_định vay phụ,Hợp_đồng ký_kết giữa Người vay lại và Bộ Tài_chính về việc cho vay lại và thu_hồi nợ vốn vay ODA theo quy_định của Nhà tài_trợ .,0.788
69433_1_1_1_5_0_14,Hệ_thống đường huyện,"các đường nối từ trung_tâm hành_chính của Huyện - Thị_xã tới trung_tâm hành_chính của Xã - Phường , hoặc các đường nối trung_tâm hành_chính Huyện với trung_tâm hành_chính các Huyện lân_cận ( đường liên xã ) .",0.809
24828_1_1_1_2_0_58,Cơ_sở đăng_ký,"cơ_sở đứng_tên nộp đơn đề_nghị cấp giấy_phép lưu_hành , nộp tài_liệu cập_nhật hoặc thay_đổi của thuốc đã được cấp số đăng_ký .",0.757
67864_1_1_1_2_0_12,Dung_dịch khoan nền nước,dung_dịch khoan sử_dụng nước làm pha liên_tục và một_số phụ_gia khác .,0.775
97154_1_1_1_2_0_10,Nội_kiểm,"việc thực_hiện các quy_định bảo_đảm vệ_sinh , chất_lượng nước của cơ_sở cung_cấp_nước do cơ_sở cung_cấp_nước tự thực_hiện , bao_gồm kiểm_tra vệ_sinh nơi khai_thác nước nguyên_liệu , vệ_sinh ngoại_cảnh , vệ_sinh hệ_thống sản_xuất nước ; xét_nghiệm chất_lượng nước thành_phẩm theo quy_định ; lập và quản_lý hồ_sơ theo_dõi vệ_sinh , chất_lượng nước .",0.829
28040_1_1_1_3_0_13,Dịch_vụ tư_vấn du_học,"các hoạt_động : Giới_thiệu , tư_vấn thông_tin về trường_học , khóa học tại nước_ngoài ; tổ_chức quảng_cáo , hội_nghị , hội_thảo , hội_chợ , triển_lãm về du_học nước_ngoài ; tổ_chức tuyển_sinh du_học ; tổ_chức bồi_dưỡng kiến_thức ngoại_ngữ , văn_hóa và kỹ_năng cần_thiết khác cho công_dân Việt_Nam ra nước_ngoài học_tập ; tổ_chức đưa người ra nước_ngoài học_tập , đưa phụ_huynh hoặc người giám_hộ tham_quan nơi đào_tạo ở nước_ngoài trước khi quyết_định đi du_học ; tổ_chức đưa người học đến cơ_sở giáo_dục nước_ngoài khi người học được cơ_sở giáo_dục nước_ngoài đồng_ý tiếp_nhận ; theo_dõi và hỗ_trợ lưu học_sinh trong thời_gian học_tập tại nước_ngoài và các hoạt_động khác liên_quan đến việc gửi công_dân Việt_Nam ra nước_ngoài học_tập .",0.794
25303_1_1_1_2_0_10,"Cụm công_trình văn_học , nghệ_thuật","tập_hợp các công_trình thuộc một chuyên_ngành văn_học , nghệ_thuật của một tác_giả hoặc các đồng tác_giả .",0.774
36884_1_1_1_3_0_40,Hồ_sơ môi_trường,"tập_hợp các tài_liệu về môi_trường , tổ_chức và hoạt_động bảo_vệ môi_trường của cơ_quan , tổ_chức , cơ_sở sản_xuất , kinh_doanh và dịch_vụ theo quy_định của pháp_luật .",0.823
45945_1_1_1_3_0_15,Hợp_kim vàng,kim_loại có thành_phần gồm vàng và một hoặc các nguyên_tố khác .,0.775
119250_1_1_1_3_0_12,Sự_cố an_toàn thông_tin mạng,"việc thông_tin , hệ_thống thông_tin bị gây nguy_hại , ảnh_hưởng tới tính nguyên_vẹn , tính bảo_mật hoặc tính khả_dụng .",0.822
16629_1_1_1_2_0_10,Người vận_tải,"tổ_chức , cá_nhân sử_dụng phương_tiện để vận_tải người , hàng_hóa trên đường_thuỷ_nội_địa .",0.739
16868_1_1_1_4_0_61,Cán_cân thanh_toán quốc_tế,bảng cân_đối tổng_hợp thống_kê một_cách có hệ_thống toàn_bộ các giao_dịch kinh_tế giữa Việt_Nam và các nước khác trong một thời_kỳ nhất_định .,0.721
19304_1_1_1_3_0_12,Cầm_cố giấy_tờ_có_giá,việc Ngân_hàng Nhà_nước nhận và thực_hiện phong_toả giấy_tờ_có_giá của khách_hàng đang lưu ký tại Ngân_hàng Nhà_nước theo đề_nghị của khách_hàng lưu ký để tham_gia một_số nghiệp_vụ của thị_trường tiền_tệ .,0.772
