mention_id,concept_expression,explain_text,expectation
87185_1_1_1_3_0_164,Chất_lượng cát  Thành_phần hạt của cát chủ_yếu,"cát hạt nhỏ ( 0,25-0,1 ) mm , chiếm 87,4 % .",0.757
64673_1_1_1_3_0_13,Hành_nghề khoan nước dưới lòng đất quy_mô nhỏ,"hành_nghề khoan và lắp_đặt các giếng_khoan thăm_dò , khai_thác nước dưới lòng đất có đường_kính ống chống hoặc ống vách dưới 110 mm và thuộc công_trình có lưu_lượng dưới 200 m3 / ngày .",0.788
5010_1_1_1_1_0_0,Điều 1  Giống cây_trồng,"các nguyên_liệu sinh_sản của thực_vật dùng trong sản_xuất nông - lâm_nghiệp bao_gồm : hạt , củ , rễ , thân , lá , cây con , mắt ghép , chồi_hoa , bao_tử hoặc sợi nấm dùng để làm giống .",0.768
23126_1_2_3_1_0_1,"Đại_hội_đồng cổ_đông bao_gồm tất_cả các cổ_đông có quyền biểu_quyết ,",cơ_quan quyết_định cao nhất của Ngân_hàng thương_mại cổ_phần .,0.759
19209_1_1_1_3_0_7,Nước_khoáng,"loại nước thiên_nhiên dưới đất , có nơi lộ ra trên mặt_đất , có chứa một_số hợp_chất có hoạt_tính mặt_đất , có chứa một_số hợp_chất có hoạt_tính sinh_học với nồng_độ cao theo quy_định của Tiêu_chuẩn Việt_Nam hoặc theo tiêu_chuẩn nước_ngoài được Nhà_nước Việt_Nam cho phép áp_dụng .",0.806
85630_1_1_1_2_0_20,Bên mời_thầu,chủ đầu_tư hoặc tổ_chức chuyên_môn có đủ năng_lực và kinh_nghiệm được chủ đầu_tư sử_dụng để tổ_chức đấu_thầu theo các quy_định của pháp_luật về đấu_thầu .,0.759
19051_1_1_1_3_0_11,Thông_báo BTNGD quốc_tế,"việc thông_báo tình_hình BTNGD cho Tổ_chức Y_tế thế_giới ( WHO ) , các tổ_chức quốc_tế , tổ_chức phi chính_phủ , đoàn ngoại_giao , doanh_nghiệp nước_ngoài , cơ_quan thông_tấn , báo_chí nước_ngoài . . .",0.786
17673_1_1_1_2_0_28,Chế_biến hoá_chất,"việc thực_hiện một quá_trình lý học như pha_chế , chưng_cất , chiết_xuất , tinh_chế mà ở đó một hoá_chất không bị biến_đổi thành hoá_chất khác .",0.777
84994_1_1_1_2_0_24,Giám_sát đầu_tư của cộng_đồng,"hoạt_động tự_nguyện của dân_cư sinh_sống trên địa_bàn xã , phường , thị_trấn ( sau đây gọi chung là địa_bàn cấp xã ) nhằm theo_dõi , kiểm_tra việc chấp_hành các quy_định về quản_lý đầu_tư của cơ_quan , đơn_vị liên_quan trong quá_trình đầu_tư ; phát_hiện , kiến_nghị với các cơ_quan nhà_nước có thẩm_quyền xử_lý các vi_phạm về đầu_tư ( trừ các chương_trình , dự_án bí_mật quốc_gia theo quy_định của pháp_luật ) .",0.783
55187_1_1_1_3_0_8,Đơn_vị quản_lý vận_hành,"tổ_chức , cá_nhân quản_lý và vận_hành đường_dây hoặc thiết_bị điện_đấu nối với hệ_thống điện quốc_gia , bao_gồm :",0.766
106740_1_1_1_4_0_58,Xác_định_giá_trị tài_liệu,"việc đánh_giá giá_trị tài_liệu theo những nguyên_tắc , phương_pháp , tiêu_chuẩn theo quy_định của cơ_quan có thẩm_quyền để xác_định những tài_liệu có giá_trị lưu_trữ , thời_hạn bảo_quản và tài_liệu hết giá_trị .",0.849
